Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
131.65719890594482	86	0.9947483	0.0035128323	0.9999949	0.98366904	1.0	0.0	6001	522087
133.06493663787842	87	0.9948085	0.003468144	0.9999919	0.983196	1.0	0.0	6001	528088
134.56599831581116	88	0.9948643	0.0034714208	0.9999929	0.98314875	1.0	0.0	6001	534089
136.10104250907898	89	0.9947185	0.0035078963	0.9999923	0.9829131	1.0	0.0	6001	540090
137.63138890266418	90	0.99472904	0.0034884787	0.99998176	0.9831773	1.0	0.0	6001	546091
139.1377763748169	91	0.994742	0.0035089483	0.9999952	0.98300743	1.0	0.0	6001	552092
140.5933849811554	92	0.99476624	0.0034386835	0.9999854	0.9836433	1.0	0.0	6001	558093
142.04977703094482	93	0.99470955	0.0034774942	0.99998254	0.9828704	1.0	0.0	6001	564094
143.45867133140564	94	0.9946787	0.0035326881	0.99997246	0.9835064	1.0	0.0	6001	570095
144.88405656814575	95	0.99465895	0.003539636	0.999992	0.98291194	1.0	0.0	6001	576096
146.36704969406128	96	0.994722	0.003500213	0.9999874	0.98281604	1.0	0.0	6001	582097
147.96854400634766	97	0.99471456	0.0034836943	0.9999905	0.9834011	1.0	0.0	6001	588098
149.54506397247314	98	0.994796	0.003430648	0.9999902	0.9834562	1.0	0.0	6001	594099
151.00125789642334	99	0.9947201	0.0035544108	0.9999911	0.9840979	1.0	0.0	6001	600100
152.51753735542297	100	0.99472404	0.0034800956	0.9999868	0.98293644	1.0	0.0	6001	606101
153.94687008857727	101	0.99479765	0.0034737478	0.99997646	0.9842013	1.0	0.0	6001	612102
155.38582158088684	102	0.99470824	0.003514082	0.9999818	0.9833174	1.0	0.0	6001	618103
157.1628885269165	103	0.9947188	0.0034829886	0.9999676	0.9834041	1.0	0.0	6001	624104
158.9348657131195	104	0.9946929	0.0034940059	0.99999547	0.98342156	1.0	0.0	6001	630105
160.42553114891052	105	0.99480426	0.0034962234	0.9999911	0.9842642	1.0	0.0	6001	636106
161.8191261291504	106	0.9947711	0.0034593989	0.999968	0.98288244	1.0	0.0	6001	642107
163.2942292690277	107	0.9946627	0.003491926	0.99998134	0.9838664	1.0	0.0	6001	648108
164.74383425712585	108	0.994731	0.0034550983	0.9999909	0.9830492	1.0	0.0	6001	654109
166.21616387367249	109	0.9947356	0.00348991	0.99997234	0.98370844	1.0	0.0	6001	660110
167.78071761131287	110	0.99473214	0.0035139946	0.9999899	0.98392755	1.0	0.0	6001	666111
169.3263645172119	111	0.9947517	0.0034894494	0.9999933	0.98299724	1.0	0.0	6001	672112
170.84109830856323	112	0.99477303	0.0034723855	0.99998075	0.9832113	1.0	0.0	6001	678113
172.30407571792603	113	0.9947592	0.0034778921	0.9999428	0.983417	1.0	0.0	6001	684114
173.71569180488586	114	0.9947642	0.0035157308	0.999991	0.9835059	1.0	0.0	6001	690115
175.20457339286804	115	0.9948448	0.0034434446	0.9999918	0.9833233	1.0	0.0	6001	696116
176.7546260356903	116	0.9948061	0.0034883418	0.99998385	0.9835377	1.0	0.0	6001	702117
178.43273377418518	117	0.9946922	0.0035716074	0.9999809	0.98344284	1.0	0.0	6001	708118
179.95614385604858	118	0.9948103	0.003499442	0.99997824	0.9835273	1.0	0.0	6001	714119
181.42688393592834	119	0.99479073	0.0034824065	0.9999837	0.98360014	1.0	0.0	6001	720120
182.87070107460022	120	0.9947922	0.003473714	0.9999958	0.9837568	1.0	0.0	6001	726121
184.27937650680542	121	0.99473095	0.0034769403	0.99998623	0.9830721	1.0	0.0	6001	732122
185.7266182899475	122	0.994761	0.003459182	0.999979	0.98359007	1.0	0.0	6001	738123
187.16200256347656	123	0.99479026	0.0034813967	0.9999807	0.9836626	1.0	0.0	6001	744124
188.6072165966034	124	0.9947447	0.0034506747	0.9999925	0.982628	1.0	0.0	6001	750125
190.0550353527069	125	0.9948207	0.0035076924	0.99999624	0.98317254	1.0	0.0	6001	756126
191.55795645713806	126	0.99484783	0.0034635875	0.9999785	0.98324484	1.0	0.0	6001	762127
